time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-17T06:25:17.520Z,33.6081667,-116.685,9.29,0.56,ml,21,92,0.06104,0.28,ci,ci37317728,2015-02-17T06:29:08.748Z,"6km N of Anza, California",earthquake
2015-02-17T06:24:12.290Z,33.984,-118.7658333,11.42,1.51,ml,19,189,0.06098,0.29,ci,ci37317720,2015-02-17T06:28:20.640Z,"5km ESE of Malibu, California",earthquake
2015-02-17T06:22:56.500Z,18.2779,-66.3072,14,2,Md,9,158.4,0.21379904,0.21,pr,pr15048004,2015-02-17T07:02:55.227Z,"7km S of Corozal, Puerto Rico",earthquake
2015-02-17T06:15:47.910Z,38.8378334,-122.8268356,2.25,0.87,md,16,64,0.006798,0.02,nc,nc72395920,2015-02-17T08:26:02.478Z,"9km W of Cobb, California",earthquake
2015-02-17T06:06:43.780Z,36.0528333,-117.6006667,1.1,1.68,ml,32,41,0.09062,0.25,ci,ci37317704,2015-02-17T06:17:35.330Z,"30km ENE of Little Lake, California",earthquake
2015-02-17T06:06:31.420Z,38.8381653,-122.8253326,2.21,0.57,md,12,67,0.007942,0.01,nc,nc72395910,2015-02-17T07:24:02.398Z,"9km WNW of Cobb, California",earthquake
2015-02-17T06:00:58.890Z,38.8381653,-122.8256683,2.21,1.13,md,26,46,0.00768,0.02,nc,nc72395905,2015-02-17T06:41:03.188Z,"9km WNW of Cobb, California",earthquake
2015-02-17T05:57:26.720Z,34.4816666,-117.774498,3.25,1.39,ml,9,118,0.06303,0.11,ci,ci37317696,2015-02-17T05:59:38.416Z,"20km NW of Wrightwood, California",earthquake
2015-02-17T05:56:58.830Z,-37.6736,179.5282,32.28,5.2,mb,,72,0.976,1.89,us,usb000tpyf,2015-02-17T06:17:21.925Z,"172km NE of Gisborne, New Zealand",earthquake
2015-02-17T05:55:43.620Z,38.8364983,-122.8243332,2.56,2.2,md,42,38,0.008958,0.04,nc,nc72395900,2015-02-17T08:21:05.037Z,"8km W of Cobb, California",earthquake
2015-02-17T05:43:26.980Z,36.1195,-117.8526667,1.1,1.51,ml,25,70,0.002486,0.29,ci,ci37317688,2015-02-17T05:47:17.978Z,"12km NE of Coso Junction, California",earthquake
2015-02-17T05:35:07.700Z,38.8083344,-122.8291702,5.61,0.56,md,7,217,0.02646,0.02,nc,nc72395890,2015-02-17T07:51:05.546Z,"7km WNW of The Geysers, California",earthquake
2015-02-17T05:22:43.140Z,38.7963333,-122.7313309,1.57,1.05,md,14,50,0.01233,0.03,nc,nc72395885,2015-02-17T05:44:04.446Z,"2km SSW of Cobb, California",earthquake
2015-02-17T05:21:32.040Z,33.5243333,-116.604,19.76,0.47,ml,15,121,0.02848,0.36,ci,ci37317680,2015-02-17T05:25:33.156Z,"7km ESE of Anza, California",earthquake
2015-02-17T05:19:10.730Z,38.8006668,-122.770668,2.11,0.88,md,10,72,0.01481,0.01,nc,nc72395880,2015-02-17T05:34:05.030Z,"2km NNW of The Geysers, California",earthquake
2015-02-17T05:17:44.400Z,18.8827,-65.1331,13,2.9,Md,6,291.6,0.58839651,0.2,pr,pr15048003,2015-02-17T07:22:53.149Z,"63km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-02-17T04:50:51.000Z,61.0687,-150.3758,33.3,1.7,ml,,,,0.38,ak,ak11510011,2015-02-17T05:20:50.015Z,"30km WSW of Anchorage, Alaska",earthquake
2015-02-17T04:50:44.490Z,33.2903333,-116.2493333,9.31,1.33,ml,48,41,0.09746,0.27,ci,ci37317656,2015-02-17T04:54:42.979Z,"12km ENE of Borrego Springs, California",earthquake
2015-02-17T04:46:38.880Z,40.1784,141.8909,40.38,5.8,mb,,82,1.109,1.06,us,usb000tpy8,2015-02-17T06:51:48.807Z,"48km SE of Hachinohe, Japan",earthquake
2015-02-17T04:44:52.789Z,39.4098,-119.8559,8.8649,0.08,ml,6,127.98,0.073,0.1261,nn,nn00483234,2015-02-17T06:30:31.540Z,"13km SSW of Reno, Nevada",earthquake
2015-02-17T04:42:50.608Z,39.4114,-119.8547,9.0014,0.02,ml,8,77.53,0.073,0.108,nn,nn00483232,2015-02-17T06:27:08.724Z,"12km SSE of Mogul, Nevada",earthquake
2015-02-17T04:21:34.000Z,60.1052,-151.4779,33.6,1.9,ml,,,,0.32,ak,ak11510008,2015-02-17T05:20:49.317Z,"30km SSW of Cohoe, Alaska",earthquake
2015-02-17T04:20:18.990Z,38.8406677,-122.8755035,3.26,1.47,md,23,72,0.005416,0.02,nc,nc72395845,2015-02-17T06:57:06.506Z,"12km ENE of Cloverdale, California",earthquake
2015-02-17T04:20:02.550Z,36.0835,-116.2257,6.06,0.84,ml,7,263.64,0.359,,nn,nn00483220,2015-02-17T04:21:50.197Z,"25km WSW of Pahrump, Nevada",earthquake
2015-02-17T04:16:39.100Z,18.1846,-66.8787,17,3.2,Md,15,126,0.19583273,0.46,pr,pr15048001,2015-02-17T05:50:58.540Z,"8km WNW of Adjuntas, Puerto Rico",earthquake
2015-02-17T04:15:25.840Z,36.0541667,-117.5921667,1.1,1.26,ml,26,70,0.08368,0.28,ci,ci37317648,2015-02-17T04:26:38.950Z,"31km ENE of Little Lake, California",earthquake
2015-02-17T04:13:32.340Z,36.0515,-117.604,0.1,0.61,ml,12,83,0.0934,0.25,ci,ci37317640,2015-02-17T04:17:15.621Z,"30km ENE of Little Lake, California",earthquake
2015-02-17T03:55:31.220Z,38.8023338,-122.769165,2.01,0.53,md,8,114,0.01727,0.02,nc,nc72395840,2015-02-17T04:48:03.641Z,"2km NNW of The Geysers, California",earthquake
2015-02-17T03:37:35.380Z,35.5491676,-120.7973328,3.96,1.81,md,36,72,0.09047,0.08,nc,nc72395825,2015-02-17T06:27:05.141Z,"8km W of Templeton, California",earthquake
2015-02-17T03:28:50.000Z,18.8728,-64.4906,7,2.5,Md,4,306,0.46892058,0.1,pr,pr15048002,2015-02-17T07:21:58.954Z,"52km NNE of Road Town, British Virgin Islands",earthquake
2015-02-17T03:23:30.640Z,0.6147,126.1447,25.26,4.7,mb,,51,1.231,1.08,us,usb000tpxv,2015-02-17T03:47:32.816Z,"137km W of Kota Ternate, Indonesia",earthquake
2015-02-17T03:09:46.443Z,41.8612,-119.6584,6.7723,2.17,ml,5,222.56,0.138,0.182,nn,nn00483215,2015-02-17T03:31:26.131Z,"67km ESE of Lakeview, Oregon",earthquake
2015-02-17T03:09:31.895Z,41.8517,-119.6557,6.7638,1.96,ml,5,115.43,0.147,0.1644,nn,nn00483212,2015-02-17T03:30:32.528Z,"68km ESE of Lakeview, Oregon",earthquake
2015-02-17T03:06:31.740Z,-55.4329,-28.2329,10,5.4,mb,,79,4.906,0.89,us,usb000tpxn,2015-02-17T03:26:37.887Z,"155km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-02-17T03:04:04.000Z,61.5318,-146.5367,40.8,1.7,ml,,,,0.48,ak,ak11509965,2015-02-17T04:04:10.012Z,"45km NNW of Valdez, Alaska",earthquake
2015-02-17T03:02:31.010Z,39.5221672,-122.1126633,27.42,2,md,6,109,0.4344,0.3,nc,nc72395800,2015-02-17T06:15:03.428Z,"6km E of Willows, California",earthquake
2015-02-17T02:54:25.000Z,62.106,-149.3109,49.8,1.9,ml,,,,0.21,ak,ak11509951,2015-02-17T03:27:08.937Z,"28km ESE of Y, Alaska",earthquake
2015-02-17T02:48:27.020Z,2.4308,94.5356,10,4.5,mb,,164,3.237,0.62,us,usb000tpxf,2015-02-17T04:11:03.066Z,"205km W of Sinabang, Indonesia",earthquake
2015-02-17T02:45:12.520Z,39.6775,144.2106,10,4.3,mb,,190,2.468,0.79,us,usb000tpxd,2015-02-17T05:08:46.120Z,"193km E of Miyako, Japan",earthquake
2015-02-17T02:44:30.000Z,62.9415,-149.5229,78.2,2.1,ml,,,,0.73,ak,ak11509941,2015-02-17T03:27:08.362Z,"57km SSW of Cantwell, Alaska",earthquake
2015-02-17T02:39:35.400Z,18.6758,-65.247,53,2.9,Md,11,208.8,0.36741095,0.25,pr,pr15048000,2015-02-17T05:03:48.756Z,"41km N of Culebra, Puerto Rico",earthquake
2015-02-17T02:37:55.869Z,41.8697,-119.6416,8.7173,0.96,ml,5,221.5,0.142,0.1951,nn,nn00483228,2015-02-17T06:17:31.622Z,"68km ESE of Lakeview, Oregon",earthquake
2015-02-17T02:37:15.400Z,19.507,-155.9883,8.3,2.6,ml,,244.799980416002,0.07186522,0.32,hv,hv60853431,2015-02-17T03:03:58.186Z,"7km W of Captain Cook, Hawaii",earthquake
2015-02-17T02:37:03.041Z,41.8558,-119.6399,8.8363,1.22,ml,5,223.81,0.152,0.1845,nn,nn00483227,2015-02-17T06:14:16.843Z,"69km ESE of Lakeview, Oregon",earthquake
2015-02-17T02:36:18.960Z,38.821167,-122.8241653,2.74,0.19,md,7,132,0.01123,0.02,nc,nc72395775,2015-02-17T05:00:02.190Z,"7km NW of The Geysers, California",earthquake
2015-02-17T02:29:51.110Z,39.6674,143.0717,20.29,4.9,mb,,135,2.149,0.64,us,usb000tpxa,2015-02-17T02:47:24.770Z,"96km E of Miyako, Japan",earthquake
2015-02-17T02:17:22.220Z,33.515,-116.5523333,16.91,0.74,ml,25,136,0.04598,0.18,ci,ci37317624,2015-02-17T02:21:18.809Z,"12km ESE of Anza, California",earthquake
2015-02-17T02:14:54.970Z,0.56,126.0677,10,5.2,mb,,32,1.315,1.08,us,usb000tpx9,2015-02-17T02:34:10.860Z,"138km SE of Bitung, Indonesia",earthquake
2015-02-17T02:05:55.010Z,36.0511667,-117.6035,1.98,0.84,ml,15,105,0.09302,0.14,ci,ci37317616,2015-02-17T02:09:39.725Z,"30km ENE of Little Lake, California",earthquake
2015-02-17T01:57:40.340Z,38.8143349,-122.7893295,3.71,0.5,md,10,90,0.006838,0.01,nc,nc72395770,2015-02-17T02:54:04.513Z,"5km W of Cobb, California",earthquake
2015-02-17T01:51:03.690Z,38.8074989,-122.8126678,3.04,0.43,md,10,118,0.01297,0.02,nc,nc72395765,2015-02-17T02:44:04.907Z,"5km NW of The Geysers, California",earthquake
2015-02-17T01:49:00.130Z,38.8236656,-122.8416672,2.37,0.55,md,11,71,0.005214,0.02,nc,nc72395760,2015-02-17T04:26:02.442Z,"9km NW of The Geysers, California",earthquake
2015-02-17T01:45:36.824Z,39.4111,-119.8557,9.3248,0.84,ml,12,64.62,0.074,0.1291,nn,nn00483206,2015-02-17T03:00:53.812Z,"12km SSE of Mogul, Nevada",earthquake
2015-02-17T01:45:10.000Z,61.8069,-147.6406,39.2,1.8,ml,,,,0.56,ak,ak11509909,2015-02-17T02:44:22.155Z,"63km E of Sutton-Alpine, Alaska",earthquake
2015-02-17T01:42:21.000Z,62.139,-150.7115,2.1,2.1,ml,,,,0.31,ak,ak11509908,2015-02-17T02:06:25.377Z,"37km WSW of Talkeetna, Alaska",earthquake
2015-02-17T01:42:12.472Z,37.1561,-117.2585,12.5552,0.72,ml,9,173.75,0.171,0.1776,nn,nn00483204,2015-02-17T06:46:48.309Z,"52km WNW of Beatty, Nevada",earthquake
2015-02-17T01:41:13.597Z,39.4023,-119.8128,5.7105,0.25,ml,9,109.22,0.039,0.1757,nn,nn00483211,2015-02-17T03:12:35.989Z,"14km S of Reno, Nevada",earthquake
2015-02-17T01:39:40.810Z,33.2968333,-116.7491667,12.67,1.01,ml,33,41,0.06122,0.19,ci,ci37317608,2015-02-17T01:43:37.507Z,"6km NNE of Lake Henshaw, California",earthquake
2015-02-17T01:29:17.160Z,36.0019989,-120.5634995,3.35,0.97,md,10,100,0.02303,0.07,nc,nc72395740,2015-02-17T02:01:05.275Z,"23km SW of Coalinga, California",earthquake
2015-02-17T01:25:09.630Z,34.0716667,-118.5193333,9.23,1.43,ml,15,135,0.06349,0.44,ci,ci37317600,2015-02-17T01:29:27.030Z,"6km NNW of Santa Monica, California",earthquake
2015-02-17T01:25:03.260Z,36.054,-117.6013333,1,0.67,ml,15,97,0.0911,0.21,ci,ci37317592,2015-02-17T01:28:38.022Z,"30km ENE of Little Lake, California",earthquake
2015-02-17T01:24:51.000Z,61.5006,-149.9189,34.7,2.3,ml,,,,0.76,ak,ak11509888,2015-02-17T02:06:26.662Z,"2km SE of Big Lake, Alaska",earthquake
2015-02-17T01:18:47.340Z,38.8084984,-122.8128357,2.5,1,md,24,99,0.01277,0.04,nc,nc72395730,2015-02-17T03:39:01.494Z,"6km NW of The Geysers, California",earthquake
2015-02-17T01:15:02.500Z,39.7419,142.9437,10,4.6,mb,,151,2.025,0.53,us,usb000tpwu,2015-02-17T01:44:45.370Z,"85km E of Miyako, Japan",earthquake
2015-02-17T01:14:13.060Z,33.6246667,-116.9283333,10.32,0.34,ml,9,110,0.06236,0.08,ci,ci37317584,2015-02-17T01:17:59.334Z,"14km SSW of Valle Vista, California",earthquake
2015-02-17T00:52:20.210Z,33.1616667,-115.634,1.1,1.89,ml,32,64,0.02203,0.28,ci,ci37317576,2015-02-17T01:03:16.390Z,"12km WNW of Calipatria, California",earthquake
2015-02-17T00:51:53.420Z,38.8180008,-122.8266678,2.97,0.43,md,11,75,0.008292,0.02,nc,nc72395710,2015-02-17T03:28:02.969Z,"7km NW of The Geysers, California",earthquake
2015-02-17T00:51:48.000Z,63.2131,-150.4747,121.2,2.7,ml,,,,0.41,ak,ak11509869,2015-02-17T01:26:18.702Z,"78km WSW of Cantwell, Alaska",earthquake
2015-02-17T00:50:02.700Z,39.8801,143.1842,8.95,4.7,mb,,142,2.121,0.49,us,usb000tpwf,2015-02-17T03:51:32.619Z,"108km ENE of Miyako, Japan",earthquake
2015-02-17T00:28:08.690Z,38.8188324,-122.805336,3.6,0.93,md,24,66,0.00587,0.02,nc,nc72395705,2015-02-17T03:28:01.629Z,"6km NW of The Geysers, California",earthquake
2015-02-17T00:25:06.820Z,38.8193321,-122.7634964,2.61,1.02,md,16,48,0.0122,0.03,nc,nc72395700,2015-02-17T03:07:02.766Z,"3km W of Cobb, California",earthquake
2015-02-17T00:24:24.970Z,36.0081673,-120.5801697,6,0.7,md,14,169,0.03512,0.05,nc,nc72395695,2015-02-17T02:52:02.581Z,"24km SW of Coalinga, California",earthquake
2015-02-17T00:14:29.616Z,37.1712,-117.2515,10.8482,0.66,ml,16,165.39,0.187,0.1894,nn,nn00483198,2015-02-17T06:43:24.588Z,"52km NW of Beatty, Nevada",earthquake
2015-02-17T00:12:07.940Z,38.8267,-116.9972,0.1,2.31,ml,19,223.12,1.225,,nn,nn00483197,2015-02-17T00:14:49.171Z,"74km S of Austin, Nevada",earthquake
2015-02-16T23:40:55.600Z,20.0208,-155.3718,5.9,3.2,Ml,,208.8,0.13474729,0.35,hv,hv60853251,2015-02-17T04:56:01.445Z,"12km ESE of Honoka'a, Hawaii",earthquake
2015-02-16T23:37:33.727Z,41.8549,-119.6481,8.0557,1.41,ml,5,223.8,0.148,0.131,nn,nn00483205,2015-02-17T01:45:01.672Z,"68km ESE of Lakeview, Oregon",earthquake
2015-02-16T23:06:27.950Z,39.8297,142.8901,23,6.7,mww,,38,1.945,1,us,usb000tpvj,2015-02-17T05:25:59.987Z,"83km ENE of Miyako, Japan",earthquake
2015-02-16T22:56:32.042Z,39.4119,-119.856,9.2568,0.95,ml,14,64.49,0.073,0.1233,nn,nn00483186,2015-02-16T23:52:22.935Z,"12km SSE of Mogul, Nevada",earthquake
2015-02-16T22:49:57.100Z,19.447,-155.2777,5.7,2.2,ml,,158.399987328001,0.04491576,0.26,hv,hv60853206,2015-02-17T06:52:27.249Z,"4km WNW of Volcano, Hawaii",earthquake
2015-02-16T22:49:42.800Z,19.9955,-155.3665,0.1,3.1,Ml,,201.6,0.23356197,0.33,hv,hv60853201,2015-02-17T00:39:44.705Z,"14km SE of Honoka'a, Hawaii",earthquake
2015-02-16T22:45:08.450Z,-3.4495,134.5188,10,4.6,mb,,118,2.326,0.74,us,usb000tpvg,2015-02-16T23:30:47.032Z,"107km W of Nabire, Indonesia",earthquake
2015-02-16T22:43:38.370Z,33.3416667,-116.1918333,8.89,1.27,ml,36,44,0.1574,0.21,ci,ci37317560,2015-02-16T22:54:27.660Z,"16km SSW of Oasis, California",earthquake
2015-02-16T22:31:08.340Z,43.406,-124.21,0.01,1.62,md,5,267,0.3647,0.12,uw,uw60969786,2015-02-17T04:39:36.080Z,"1km E of North Bend, Oregon",explosion
2015-02-16T22:30:35.010Z,38.8198318,-122.7623367,2.24,1.68,md,24,66,0.01609,0.11,nc,nc72395650,2015-02-17T01:10:07.199Z,"3km W of Cobb, California",earthquake
2015-02-16T22:19:16.540Z,37.7535,-115.1497,8,1.74,ml,8,151.31,1.194,,nn,nn00483181,2015-02-16T22:21:32.117Z,"43km N of Alamo, Nevada",earthquake
2015-02-16T22:19:10.860Z,39.4142,-119.8586,9.5665,0.98,ml,14,64.18,0.077,0.1587,nn,nn00483180,2015-02-16T23:44:39.914Z,"12km SSE of Mogul, Nevada",earthquake
2015-02-16T22:15:47.120Z,32.9751667,-116.4213333,4.88,1.33,ml,30,70,0.08294,0.23,ci,ci37317552,2015-02-16T22:19:38.849Z,"20km NNE of Pine Valley, California",earthquake
2015-02-16T22:15:24.150Z,46.824,-121.9713333,5.47,0.16,md,9,191,0.08886,0.1,uw,uw60969776,2015-02-16T22:35:34.940Z,"23km ESE of Eatonville, Washington",earthquake
2015-02-16T22:14:10.830Z,36.0488333,-117.5965,1.44,0.74,ml,15,101,0.08758,0.23,ci,ci37317544,2015-02-16T22:17:50.275Z,"31km ENE of Little Lake, California",earthquake
2015-02-16T22:12:05.910Z,37.5441666,-121.9369965,5.75,1.66,md,15,57,0.03963,0.06,nc,nc72395640,2015-02-17T00:41:04.354Z,"4km E of Fremont, California",earthquake
2015-02-16T22:10:13.330Z,35.8434,-97.4493,4.29,2.8,mb_lg,,38,0.047,0.48,us,usb000tpv0,2015-02-17T04:00:24.983Z,"4km SSW of Guthrie, Oklahoma",earthquake
2015-02-16T22:00:53.160Z,-55.5277,-28.2432,10,6.2,mww,,28,4.918,0.83,us,usb000tpuw,2015-02-17T06:03:27.210Z,"145km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-02-16T21:44:47.870Z,36.0688333,-117.5825,1.1,1.84,ml,30,69,0.07652,0.3,ci,ci37317536,2015-02-16T21:48:46.038Z,"33km ENE of Little Lake, California",earthquake
2015-02-16T21:35:46.540Z,34.1861667,-118.4296667,59.06,1.74,ml,16,75,0.08252,0.53,ci,ci37317528,2015-02-16T21:40:07.452Z,"2km E of Van Nuys, California",earthquake
2015-02-16T21:24:22.010Z,-40.75,-86.3607,10,4.6,mb,,240,9.292,1,us,usb000tpua,2015-02-17T05:27:01.954Z,"West Chile Rise",earthquake
2015-02-16T21:14:45.726Z,38.4649,-118.3944,6.9594,1.83,ml,14,131.12,0.054,0.186,nn,nn00483160,2015-02-17T01:35:07.297Z,"21km ESE of Hawthorne, Nevada",earthquake
2015-02-16T20:56:19.160Z,34.9816667,-116.8006667,1.31,2.01,ml,27,57,0.162,0.2,ci,ci37317520,2015-02-16T21:00:11.647Z,"22km ENE of Barstow, California",earthquake
2015-02-16T20:28:22.660Z,36.4638329,-121.0425034,5.7,2.06,md,35,71,0.04338,0.05,nc,nc72395605,2015-02-16T23:19:04.225Z,"24km NE of Greenfield, California",earthquake
2015-02-16T20:20:20.680Z,49.1745,-122.1571667,0.01,1.74,md,4,224,0.1826,0,uw,uw60969656,2015-02-16T21:00:22.870Z,"12km ENE of Mission, Canada",explosion
2015-02-16T19:41:21.920Z,46.1728333,-122.2938333,10.64,-0.16,md,7,104,0.02795,0.11,uw,uw60969606,2015-02-16T20:56:25.390Z,"31km NNE of Amboy, Washington",earthquake
2015-02-16T19:38:43.920Z,34.1876667,-117.448,9.68,0.98,ml,22,70,0.04765,0.16,ci,ci37317512,2015-02-16T19:42:37.771Z,"6km SW of Devore, California",earthquake
2015-02-16T19:25:11.680Z,36.0563333,-117.5888333,0.05,1.05,ml,23,69,0.0809,0.41,ci,ci37317504,2015-02-16T19:28:57.616Z,"32km ENE of Little Lake, California",earthquake
2015-02-16T19:03:45.390Z,32.219,-115.408,8.8,2.08,ml,8,282,0.5066,0.32,ci,ci37317496,2015-02-16T19:07:27.508Z,"22km W of Alberto Oviedo Mota, B.C., Mexico",earthquake
2015-02-16T19:01:21.950Z,37.1523,-117.2502,7,0.57,ml,6,193.62,0.22,,nn,nn00483142,2015-02-16T19:02:29.276Z,"51km WNW of Beatty, Nevada",earthquake
2015-02-16T18:50:26.590Z,38.7789993,-122.7561646,0.63,1.29,md,19,60,0.01115,0.05,nc,nc72395590,2015-02-16T22:26:01.816Z,"0km N of The Geysers, California",earthquake
2015-02-16T18:49:39.820Z,38.7775002,-122.7563324,0.94,2.02,md,18,46,0.009999,0.04,nc,nc72395585,2015-02-16T21:51:05.503Z,"0km NNE of The Geysers, California",earthquake
2015-02-16T18:46:30.390Z,38.8260002,-122.8413315,1.03,0.57,md,11,75,0.005703,0.03,nc,nc72395580,2015-02-16T19:01:05.847Z,"9km NW of The Geysers, California",earthquake
2015-02-16T18:24:15.045Z,38.4675,-118.404,6.8799,1.67,ml,14,129.92,0.062,0.1638,nn,nn00483138,2015-02-16T18:42:09.546Z,"20km ESE of Hawthorne, Nevada",earthquake
2015-02-16T18:17:20.600Z,19.7503,-155.8345,28.9,1.8,Md,,216,0.06288207,0.12,hv,hv60853016,2015-02-16T18:20:45.844Z,"15km E of Kalaoa, Hawaii",earthquake
2015-02-16T17:57:33.340Z,32.976,-116.4178333,10.7,0.94,ml,28,81,0.08385,0.31,ci,ci37317472,2015-02-16T18:01:31.255Z,"20km NNE of Pine Valley, California",earthquake
2015-02-16T17:53:08.790Z,34.3128333,-116.4405,10.19,1.02,ml,18,137,0.05248,0.27,ci,ci37317464,2015-02-16T17:57:11.036Z,"22km N of Yucca Valley, California",earthquake
2015-02-16T17:39:39.800Z,19.3763,-155.283,2.1,1.7,Ml,,93.6,0.00898315,0.13,hv,hv60852976,2015-02-16T17:45:25.578Z,"7km SW of Volcano, Hawaii",earthquake
2015-02-16T17:35:25.580Z,37.473999,-118.7786636,6.8,1.49,md,17,178,0.1226,0.03,nc,nc72395550,2015-02-16T20:56:02.109Z,"25km SE of Mammoth Lakes, California",earthquake
2015-02-16T17:34:43.830Z,33.166,-115.6353333,4.5,1.34,ml,25,70,0.02009,0.28,ci,ci37317440,2015-02-16T17:38:42.308Z,"12km WNW of Calipatria, California",earthquake
2015-02-16T17:33:59.000Z,64.8151,-148.6723,1.4,1.5,ml,,,,0.42,ak,ak11509321,2015-02-16T18:14:52.992Z,"31km W of Ester, Alaska",earthquake
2015-02-16T17:33:10.658Z,37.6179,-115.215,18.9516,1.57,ml,6,119.48,0.248,0.2272,nn,nn00483131,2015-02-16T18:22:41.262Z,"28km N of Alamo, Nevada",earthquake
2015-02-16T17:22:46.160Z,38.822834,-122.8028336,3.15,1.56,md,31,33,0.005683,0.03,nc,nc72395520,2015-02-16T20:04:03.625Z,"6km W of Cobb, California",earthquake
2015-02-16T17:20:34.730Z,-14.9598,167.0693,32.83,4.7,mb,,59,0.501,0.51,us,usb000tpqe,2015-02-17T01:23:16.082Z,"10km NNE of Port-Olry, Vanuatu",earthquake
2015-02-16T17:12:29.510Z,34.0196667,-117.119,14.08,1.37,ml,66,43,0.01669,0.25,ci,ci37317432,2015-02-16T17:23:47.550Z,"6km SSE of Mentone, California",earthquake
2015-02-16T17:02:00.336Z,37.5116,-118.5844,11.8425,0.72,ml,12,61.82,0.113,0.1021,nn,nn00483127,2015-02-16T18:38:32.863Z,"20km NW of Dixon Lane-Meadow Creek, California",earthquake
2015-02-16T16:57:59.760Z,38.8260002,-122.8451691,2.31,0.57,md,12,74,0.008427,0.03,nc,nc72395495,2015-02-16T17:29:02.694Z,"9km NW of The Geysers, California",earthquake
2015-02-16T16:51:32.290Z,21.6,143.1167,286.37,4.5,mb,,51,5.536,0.55,us,usb000tpp9,2015-02-17T00:53:59.071Z,"219km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-02-16T16:46:43.800Z,33.9878333,-116.7388333,16.14,1.08,ml,26,106,0.07421,0.28,ci,ci37317424,2015-02-16T16:50:39.004Z,"9km NNE of Cabazon, California",earthquake
2015-02-16T16:44:33.710Z,38.8100014,-122.7751694,0.94,0.82,md,12,83,0.005399,0.03,nc,nc72395475,2015-02-16T17:17:03.059Z,"3km NNW of The Geysers, California",earthquake
2015-02-16T16:42:15.850Z,33.6251667,-116.6811667,14.49,0.64,ml,20,66,0.05171,0.12,ci,ci37317416,2015-02-16T16:46:04.144Z,"8km N of Anza, California",earthquake
2015-02-16T16:39:40.160Z,38.9273338,-123.0413361,2.01,1.79,md,15,103,0.07035,0.04,nc,nc72395470,2015-02-16T19:20:02.996Z,"13km N of Cloverdale, California",earthquake
2015-02-16T16:39:27.200Z,33.6655,-116.6123333,10.06,1.04,ml,32,89,0.09613,0.51,ci,ci37317408,2015-02-16T16:43:30.156Z,"13km SE of Idyllwild, California",earthquake
